Sample	Region	State	Typo	Latitude	Longitude	Temp	Cond	Sal	OD	pH	Clorof	NO2	NO3	PO4	SO4	NH4	NID	Ptotal	NPratio	Trophic	Bacteria	HighDNA	LowDNA	%High	%Low
570	Amazonas	MT	Lake	S1244948 	W05350924 	29.31	27	0.01	0.00	6.86	17.8	0.15	0.72	0.97	0.038	0.95	1.82	49.66	1.88	Mesotrophic	793604.78	733002.20	49600.30	92	6
2191	Amazonas	AM	Lake	S0216328 	W05528148 	30.8	66	0.03	6.53	8.43	30.2	0.00	1.95	1.93	0.333	0.00	1.95	47.91	1.01	Mesotrophic	978606.40	923100.66	51208.37	94	5
247	Amazonas	AM	Lake	S0424200 	W06206383 	30.55	340	0.16	6.6	7.42	26.7	0.00	41.69	1.74	0.785	3.79	45.48	50.78	26.14	Mesotrophic	465418.33	273139.44	177235.06	59	38
520	Amazonas	AC	Lake	S0910048 	W07012901 	30.89	371	0.17	6.36	7.73	15.6	0.00	67.66	11.67	73.79	0.53	68.18	32.41	5.84	Mesotrophic	1171103.58	762854.50	284799.01	65	24
2218	Amazonas	AM	Lake	S0430172 	W07133163 	31.1	537	0.26	7.14	7.41	16.2	0.00	0.67	1.74	0.158	0.95	1.62	40.72	0.93	Mesotrophic	60717.82	48617.47	11668.19	80	19
2225	Amazonas	AM	Lake	S0252031 	W06936946 	33.21	541	0.26	6.28	6.47	6.5	0.00	14.49	0.00	0.046	0.00	14.49	26.99	NA	Mesotrophic	1767104.29	1132944.79	575521.47	64	33
138	Amazonas	AM	Lake	S0158076 	W06612446 	30.95	233	0.11	7.61	8.14	20.2	0.00	1.98	11.80	0.044	0.00	1.98	44.07	0.17	Mesotrophic	6117644.44	3170266.67	2682533.33	52	44
179	Amazonas	AM	Lake	S0310844 	W06250142 	31.59	336	0.16	7.42	7.46	30	0.00	2.32	1.93	0.062	0.00	2.32	36.09	1.20	Mesotrophic	7536266.67	4118986.67	3099466.67	55	41
192	Amazonas	AM	Lake	S0318641 	W06244260 	31.1	310	0.15	7.56	7.65	11.9	0.00	7.18	1.35	0.061	0.00	7.18	26.51	5.31	Mesotrophic	13391627.91	7562976.74	5570697.67	56	42
240	Amazonas	AM	Lake	S0413193 	W06337025 	31.67	256	0.12	7.73	7.04	18.4	0.00	4.91	1.16	0.078	0.95	5.85	38.01	5.05	Mesotrophic	4472850.39	2750236.22	1553511.81	61	35
251	Amazonas	AM	Lake	S0425857 	W06328665 	31.43	189	0.09	7.34	7.04	11.5	0.00	26.73	3.48	0.107	3.79	30.52	46.79	8.77	Mesotrophic	5807546.39	2751711.34	2780907.22	47	48
1016	Amazonas	AM	Lake	S0303277 	W06123709 	31.23	353	0.17	7.49	8.3	13.9	0.00	5.11	2.71	0.060	0.00	5.11	30.18	1.89	Mesotrophic	7441866.67	3665866.67	3370080.00	49	45
2236	Amazonas	RR	Lake	N0050214 	W06127507 	33.26	492	0.23	NA	9.02	15.2	0.00	2.12	3.09	0.037	0.00	2.12	35.45	0.68	Mesotrophic	1102846.15	465192.31	562769.23	42	51
2244	Amazonas	AM	Lake	S0319915 	W06445194 	33.51	287	0.13	7.44	7.77	17.1	0.00	2.97	0.77	0.090	0.95	3.92	34.65	5.07	Mesotrophic	3497910.83	1915057.32	1406980.89	55	40
491	Amazonas	MT	River	S0938590 	W05555233 	30.1	17	0.01	6.71	6.89	8.4	0.00	27.35	7.62	35.31	54.29	81.64	28.12	10.71	Mesotrophic	1699253.14	1163524.72	535728.41	68	32
494	Amazonas	MT	River	S0938266 	W05336093 	29.74	30	0.01	6.64	7.23	13.9	0.00	122.65	NA	48.60	54.29	176.94	44.23	NA	Mesotrophic	663315.91	543058.25	120257.65	82	18
497	Amazonas	MT	River	S0952076 	W05247375 	30.21	13	0	6.67	7.14	5.3	0.00	39.36	NA	33.85	78.58	117.94	31.47	NA	Mesotrophic	1153807.63	788067.18	365740.46	68	32
507	Amazonas	MT	River	S1001133 	W05533548 	30.23	14	0	7	7.1	6.3	0.00	27.21	3.82	29.48	42.14	69.36	27.49	18.15	Mesotrophic	1515128.77	1163435.62	351693.15	77	23
511	Amazonas	MT	River	S1007769 	W05657217 	28.14	50	0.02	7.07	7.42	4.8	0.15	122.92	5.07	25.59	30.00	153.07	36.74	30.21	Mesotrophic	1243341.68	969212.96	274128.73	78	22
514	Amazonas	MT	River	S1010727 	W05520269 	30.21	22	0.01	6.9	7.05	15	0.00	24.11	NA	28.51	30.00	54.11	27.49	NA	Mesotrophic	809358.31	659306.38	150051.93	81	19
515	Amazonas	MT	River	S1011931 	W05458820 	29.83	28	0.01	6.66	6.97	10.7	0.00	93.63	8.31	66.59	115.02	208.64	45.03	25.09	Mesotrophic	833332.07	660311.55	173020.52	79	21
531	Amazonas	MT	River	S1043027 	W05305983 	29.47	11	0	6.86	6.75	34.4	0.00	13.04	6.93	34.02	54.29	67.33	27.65	9.71	Mesotrophic	766904.41	638948.53	127955.88	83	17
548	Amazonas	MT	River	S1113935 	W05735960 	28.84	54	0.02	6.97	6.86	30.7	0.00	32.75	3.48	33.69	54.29	87.04	27.01	25.04	Mesotrophic	370869.72	323550.47	47319.26	87	13
551	Amazonas	MT	River	S1118916 	W05808023 	28.47	34	0.01	7.25	6.97	1.6	0.00	49.08	NA	22.67	30.00	79.08	28.92	NA	Mesotrophic	1355086.87	939307.74	415779.12	69	31
556	Amazonas	MT	River	S1129148 	W05351442 	28.03	14	0	5.39	5.76	0.4	0.00	29.78	NA	108.73	30.00	59.78	27.65	NA	Mesotrophic	1766827.72	975007.26	791820.46	55	45
557	Amazonas	MT	River	S1130843 	W05724856 	28.48	37	0.02	7	6.76	4.6	0.00	64.47	NA	34.02	42.14	106.61	28.60	NA	Mesotrophic	1335468.47	980610.17	354858.31	73	27
